Quality of Life Index
192.67
192.01
190.22
186.21
183.67
182.5
181.75
181.02
179.78
177.82
175.95
175.19
172.15
172.11
169.82
167.99
163.47
162.91
162.71
162.29
159.42
159.01
156.24
153.95
153.53
153.47
152.53
150.56
150.0
149.94
147.93
144.39
141.83
140.76
139.02
134.83
133.07
132.44
131.97
129.8
128.16
127.1
125.98
125.14
121.89
119.76
118.55
118.44
116.3
115.95
115.31
112.4
110.46
108.63
108.36
106.56
105.83
105.65
105.46
105.44
104.77
102.81
102.31
101.88
99.05
97.47
88.31
87.48
86.54
85.46
85.37
85.16
74.14
70.56
70.03
55.65
